,0.3,0.6,1.0,1.4,1.8
person,0.41309913550943855,0.5254778645003084,0.5327354004056417,0.5292178442631299,0.5223869089674541
bicycle,0.18668779904306218,0.20607389217725167,0.2613315931023573,0.2329472573839663,0.2239660568127107
car,0.10043912349181613,0.15724502247780411,0.16225903457398877,0.16726919606582047,0.1716632044138478
motorcycle,0.687,0.7310555555555556,0.7172142857142856,0.6940000000000001,0.7029285714285713
airplane,0.6753394265232975,0.6470285714285715,0.6723333333333332,0.7131666666666667,0.6712878787878787
bus,0.62275,0.6588790322580643,0.6887096774193547,0.6772499999999999,0.665875
train,0.3416607142857143,0.601987752887373,0.6012500000000001,0.5785333333333332,0.5566428571428573
truck,0.22833717053788893,0.30044206082887237,0.29316568492844863,0.2805690970821568,0.2892364194772494
boat,0.10720593451264185,0.2025914470810811,0.1336904761904762,0.16209142699882118,0.15294120845603199
traffic light,0.028528574914025474,0.09991666666666668,0.13575,0.14850000000000002,0.14961111111111114
stop sign,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
bench,0.656,0.696,0.7001666666666667,0.696,0.716
bird,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
cat,0.3070945834513581,0.2789670859367492,0.3635618014631173,0.2888364434510876,0.28699210195160507
dog,0.33866817150960005,0.47386944264885444,0.5084694180583456,0.5402954915209498,0.5723534593837535
horse,0.5731071428571428,0.6416666666666667,0.7893749999999999,0.7768749999999999,0.7976249999999999
elephant,0.37856982600732597,0.5218175326135852,0.5837763320573239,0.5926726907931512,0.5155438596491229
bear,0.40259999999999996,0.6455,0.5177916666666667,0.6465,0.6465
zebra,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
giraffe,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
backpack,0.3594335583806172,0.6531499797895587,0.6748106651802305,0.6447470825955801,0.6613234320395361
umbrella,0.8955,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949999999999999
handbag,0.951375,0.9637499999999999,0.9637499999999999,0.9637499999999999,0.97
tie,0.7640972222222222,0.7531944444444445,0.7174098039215686,0.7218581699346405,0.7491854341736695
suitcase,0.13374618929457638,0.21657152955575137,0.23042799035329806,0.23653504152693478,0.24691644042232283
frisbee,0.3239345907108023,0.39243416231703765,0.4134121835168629,0.4157242084400976,0.42011076799846325
skis,0.05907798951966618,0.11880302570473784,0.0857954385410667,0.09180268571184542,0.08635258124318533
snowboard,0.3781578947368421,0.5013684210526315,0.4730029585798817,0.44745202558635383,0.4570232067510549
sports ball,0.0,0.399978354978355,0.52,0.6213020833333334,0.475
kite,0.5638888888888889,0.6216666666666667,0.675,0.6683333333333333,0.6563333333333333
baseball bat,0.10660714285714286,0.14925,0.49749999999999994,0.597,0.597
baseball glove,0.4568230511716882,0.46481902872941455,0.49863625666160977,0.4923216393807772,0.5117278299426186
skateboard,0.2563,0.3260714285714285,0.28975000000000006,0.2886388888888889,0.27784615384615385
tennis racket,0.0906113457066127,0.18155212902351986,0.18177618159721654,0.19615985598984,0.18522130812011256
bottle,0.060833333333333336,0.11099999999999999,0.19791533180778031,0.2072142857142857,0.08633333333333333
wine glass,0.14926315789473685,0.2798333333333333,0.27016666666666667,0.2891666666666667,0.3078333333333333
cup,0.23500000000000001,0.44799999999999995,0.40625,0.4093333333333334,0.3465
fork,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
knife,0.1631252417794971,0.3158664772727272,0.31272271895956105,0.33714705882352936,0.29807509157509154
spoon,0.15990342356632564,0.24521388074022205,0.20591413798659577,0.22902974060796155,0.24578967913369137
bowl,0.19278858059865772,0.3246764713178013,0.3275746001523229,0.307445350958445,0.2608022617479139
banana,0.2517679828799792,0.30263802933921247,0.278293730889346,0.2636163081552328,0.25234050601092595
sandwich,0.15835714285714286,0.15900693277310926,0.1817604165280458,0.20873260073260075,0.20506310679611656
orange,0.26999134536588226,0.3397422236659621,0.3676864233052735,0.3523136912240624,0.35449570718614015
broccoli,0.1459462126678089,0.1862095409469159,0.18589440123986106,0.18592875330546066,0.18112558551794433
carrot,0.321208606874908,0.4591725501949032,0.49212783998493037,0.5041665907044526,0.5096411349344457
hot dog,0.04854830917874396,0.04086607142857142,0.03785326086956522,0.03760863095238095,0.028945454545454545
pizza,0.327322468926016,0.41643282397508896,0.443769494937465,0.4397646694044863,0.42923838598382186
donut,0.33525000000000005,0.44749999999999995,0.3078571428571428,0.398,0.398
cake,0.6214999999999998,0.6103586956521738,0.6214999999999999,0.5509166666666666,0.27641666666666664
chair,0.1382909090909091,0.2149870706788058,0.2004795178915631,0.2078942792866691,0.19739967330384714
couch,0.2203261891053978,0.3869466978679831,0.3583467904401072,0.31312992341187296,0.26795516586012413
