gamma,size,tp,fn,total_gt,recall,avg_conf
0.3,small,0,282,282,0.0,0.0
0.3,medium,10,274,284,0.035211267605633804,0.49100196957588194
0.3,large,85,278,363,0.23415977961432508,0.6859699701561647
0.6,small,0,282,282,0.0,0.0
0.6,medium,16,268,284,0.056338028169014086,0.5048089940100908
0.6,large,105,258,363,0.2892561983471074,0.7331736803054809
1.0,small,0,282,282,0.0,0.0
1.0,medium,20,264,284,0.07042253521126761,0.5117512688040733
1.0,large,107,256,363,0.29476584022038566,0.7342460180554434
1.4,small,0,282,282,0.0,0.0
1.4,medium,15,269,284,0.0528169014084507,0.5604854265848795
1.4,large,100,263,363,0.27548209366391185,0.7500370064377785
1.8,small,0,282,282,0.0,0.0
1.8,medium,16,268,284,0.056338028169014086,0.5551360603421926
1.8,large,100,263,363,0.27548209366391185,0.7337983003258706
